패치,섹션,대상,컨텍스트,변경사항,변경수
26.14,챔피언,아지르,"현재 아지르는 용맹한 매보다는 머리 없는 닭 같은 신세입니다. 수치 조정과 같은 직접적인 상향보다는, 아지르의 위력에 영향을 주던 버그를 수정하고 일부 룬과의 상호작용을 변경하여 슈리마의 이름을 더 자주 외칠 수 있게 만들고자 합니다.","적중 시 효과? 파괴 시 효과에 더 가깝군요 : 이제 주문 작열, 리안드리의 고통, 어둠불꽃 횃불, 마법공학 교류 발전기의 피해가 적중 시 50%가 아닌 100%로 적용됩니다. | 한 발에 두 번 : 적중 시 정복자가 1회가 아닌 2회 중첩됩니다. | 레이저 집중 : 집중 공격이 이제 적중한 주 대상에게 적용됩니다. | 물렀거라, 천한 것! : 이제 정글 몬스터를 뒤로 밀어냅니다.",4
26.14,챔피언,코르키,"모두가 좋아하는, 횡설수설하는 비행사가 하단 공격로에서 이륙하는 데 말썽을 겪고 있습니다. 게임 후반 코르키의 출격에 화력을 더해, 스킬과 미사일을 난사하는 코르키의 핵심 플레이를 강화하고자 합니다!",공격력 증가량 : 2 ⇒ 2.5 | 기본 공격 시 남은 재충전 시간 감소량 : 2~4초 (치명타 확률에 따라) ⇒ 2~6초,2
26.14,챔피언,가렌,"현재 가렌은 모든 실력대에서 과도한 정의를 실현하고 있습니다. 따라서 R - 데마시아의 정의를 소폭 하향하여 가렌의 압박 능력을 낮추는 대신, 시기적절한 대상 선택에 대한 보상을 유지하고 정의를 저버린 자들의 마음속에 공포를 심어주고자 합니다.",고정 피해 : 150/250/350(+대상 잃은 체력의 25/30/35%) ⇒ 125/200/275(+대상 잃은 체력의 25/30/35%),1
26.14,챔피언,제이스,"제이스는 26.03 패치 조정 이후 빠르게 순위가 상승했으며, 계속해서 선두를 지키고 있습니다. 또한, 룬을 유연하게 활용할 수 있어 상대 챔피언을 모르는 상황에서 부담 없이 선택할 수 있는 챔피언이 되었으며, 상위 랭크에서는 가장 많이 선택되는 상단 공격로 챔피언입니다. 현재 제이스는 암살자처럼 빌드를 구성하면서도 전사처럼 플레이하고 있습니다. 이는 탱커 제이스 시절보다 나은 모습으로 보입니다. 이번 변경으로 해당 챔피언의 재미는 유지하면서 빠른 속도와 높은 내구력은 하향하고자 합니다.",추가 이동 속도 : 40 ⇒ 30 | 추가 방어력 및 마법 저항력 : 5/15/25/35(+추가 공격력의 7.5%) ⇒ 5/12/19/26(+추가 공격력의 7.5%),2
26.14,챔피언,로크,"로크의 출시가 비교적 순조롭게 진행되었으며, 이제 플레이어 여러분이 로크에 익숙해질 시간을 가졌으므로 소폭 하향하고자 합니다. Q - 의식용 대못으로 압박할 수 있는 시간을 줄여 상대가 대처할 여지를 늘리고자 합니다. 또한, 로크는 강화형 보조술사가 아닌 만큼 W - 영혼 점화의 체력 회복량이 하향됩니다.",대못 재사용 가능 시간 : 5초 ⇒ 4초 | 대못 피해량 : 50/60/70/80/90 ⇒ 50/58/66/74/82 | 표식 기본 추가 피해량 : 20/30/40/50/60 ⇒ 18/26/34/42/50 | 입은 피해 회색 체력 최대 전환량 : 40/80/120/160/200 ⇒ 40/70/100/130/160,4
26.14,챔피언,모데카이저,"모데카이저는 26.10 패치에서 균열 생성기 관련 버그가 수정된 후 파괴력을 상당히 잃어 약간의 상향이 필요합니다. 따라서 이제 모데카이저가 E - 죽음의 손아귀로 적을 끌어왔을 때 더 큰 보상을 얻고, 죽음의 군주라는 이름에 걸맞게 1대1 전투 능력이 향상됩니다.",피해량 : 60/75/90/105/120 (+주문력의 40%) ⇒ 60/80/100/120/140 (+주문력의 45%) | 훔치는 능력치 비율 : 10% ⇒ 13%,2
26.14,챔피언,나미,나미는 26.7 패치에서 적용된 하향과 더불어 제국의 명령 변경 이후 힘을 쓰지 못하는 모습을 보이고 있습니다. 나미의 새로운 빌드에서 다소 아쉬운 성능을 보였던 E - 파도 소환사의 축복이 상향됩니다. 이번 변경으로 전세가 유리하게 바뀌어 더 큰 영향력을 발휘하길 바랍니다!,타격당 피해량 : 20/30/40/50/60 ⇒ 20/35/50/65/80,1
26.14,챔피언,세나,"지난 패치에서 하향되었지만 세나는 여전히 어둠과 빛을 꿰뚫으며 활약하고 있습니다. 그녀가 영혼을 수집하며 위력을 떨칠 때 발휘되는 기본 지속 효과와 성장력이 집중적으로 하향됩니다. 이번 변경이 서포터 역할에는 미미한 영향을 주지만, 주문력 계수를 활용하기 위해 스태틱의 단검을 빠르게 완성하는 원거리 딜러 역할에 큰 영향을 줄 것입니다.",치명타 피해량 계수 : 85% ⇒ 80% | 둔화율 주문력 계수 : 주문력 100당 10% ⇒ 주문력 100당 7% | 체력 회복량 주문력 계수 : 주문력의 50% ⇒ 주문력의 35%,3
26.14,챔피언,세라핀,"세라핀이 꾸준히 고음을 내고 있는 걸 보니 보컬 레슨이 효과가 있었나 봅니다. 하단 공격로의 주역이 될 정도로 말이죠. 따라서 모두의 고막이 터지지 않도록 볼륨을 살짝 낮추고자 합니다. 당장은 Q - 고음의 피격 판정 범위를 더 조정할 계획이 없으며, 현재 상태를 기준으로 밸런스를 맞춰 나갈 예정입니다.",주문력 계수 : 주문력의 50% ⇒ 주문력의 40%,1
26.14,챔피언,유나라,유나라의 기운이 조금씩 약해지고 있습니다. 그래서 게임 후반에 더 안정적으로 활약할 수 있도록 성장력이 소폭 상향됩니다.,공격력 증가량 : 2.5 ⇒ 3,1
